"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
""
"C24","0805_[2012]_-_C","3.6mm","18.4mm","3.6mm","18.4mm","2.6mm","18.4mm","T","360.00",""
"S2","SW_KMR211GLFS","50.5mm","42.55mm","50.5mm","43mm","52.55mm","42.2mm","T","180.00","SW-PB"
"R18","0603R","44mm","32.7mm","44mm","32.7mm","44mm","31.9mm","T","90.00",""
"R17","0603R","41.3mm","32.6mm","41.3mm","32.6mm","41.8657mm","32.0343mm","T","135.00",""
"R16","0603R","38.8mm","31.3mm","38.8mm","31.3mm","39.6mm","31.3mm","T","180.00",""
"R15","0603R","38.7mm","28.8mm","38.7mm","28.8mm","39.2657mm","29.3657mm","T","225.00",""
"R14","0603R","39.1mm","26.5mm","39.1mm","26.5mm","39.6657mm","27.0657mm","T","225.00",""
"R13","0603R","39mm","23.9mm","39mm","23.9mm","39.5657mm","24.4657mm","T","225.00",""
"R12","0603R","40.1mm","22.1mm","40.1mm","22.1mm","40.6657mm","22.6657mm","T","225.00",""
"D2","SMA_DO-214AC","37.6mm","38.4mm","37.6mm","38.4mm","37.6mm","36.5mm","T","270.00","D Zener"
"C6","0402C","63mm","28.1mm","63mm","28.1mm","63.55mm","28.1mm","T","180.00",""
"S1","SW_KMR211GLFS","58mm","42.55mm","58mm","43mm","60.05mm","42.2mm","T","180.00","SW-PB"
"R5","0603R","42.1mm","21.6mm","42.1mm","21.6mm","42.6657mm","22.1657mm","T","225.00",""
"R2","0603R","85.9mm","38mm","85.9mm","38mm","86.7mm","38mm","T","180.00","R_RES_0603"
"R1","0603R","91.3mm","25.6mm","91.3mm","25.6mm","91.3mm","26.4mm","T","270.00","R_RES_0603"
"C5","0603C","52.3mm","20.7mm","52.3mm","20.7mm","52.3mm","19.9mm","T","90.00",""
"C4","0603C","63.1mm","19mm","63.1mm","19mm","62.3mm","19mm","T","360.00",""
"C3","0603C","71.3mm","19.2mm","71.3mm","19.2mm","71.3mm","20mm","T","270.00",""
"C2","0805_[2012]_-_C","3.7mm","36.7mm","3.7mm","36.7mm","2.7mm","36.7mm","T","360.00",""
"D1","SMA_DO-214AC","86.2mm","25.5mm","86.2mm","25.5mm","88.1mm","25.5mm","T","360.00","D Zener"
"R6","0603R","68.1mm","18.5mm","68.1mm","18.5mm","67.3mm","18.5mm","T","360.00","Res3"
"R7","0603R","58.8mm","19mm","58.8mm","19mm","59.6mm","19mm","T","180.00","Res3"
"C7","0402C","77.1mm","31.5mm","77.1mm","31.5mm","77.1mm","30.95mm","T","90.00",""
